question,answer,source
How to forget a network on Apple Mac Computer or IOS Mobile Device,The link below details how to forget or remove a network on a Apple Mac computer or Apple IOS mobile device: Forget or Delete Network on Apple Devices,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=142865
How do I get a copy of my transcript?,"Get a Copy of Your Official or Unofficial Transcript from TROY Official Transcripts The cost of an official transcript is $10.00. You can order your official transcript online from Transcript Ordering or send a request via mail to: Troy University Official Transcript Request Adams Administration Building, Lower Level 3 Troy, Alabama 36082 Please include in the mail request the following information: Name Date of Birth Last four of SSN Date/s of attendance Degree/s earned Recipient/return address Contact number Signature...this is your consent to release your information $10.00 check or money order Unofficial Transcripts Unofficial transcripts may be obtained from the Transcript Department by emailing a request to:  transcripts@troy.edu An unofficial transcript is free of charge. More Information About Transcripts Click here for more information about transcripts.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40723
How to download and install Microsoft ProPlus,"Microsoft Office 365 applications are available at no cost for all current Troy University faculty, staff and students. Desktop Applications Microsoft Office 365 desktop applications are only available for Microsoft Windows and Mac OS. Microsoft Office 365 desktop applications cannot be installed on other platforms, such as Chrome OS (Chrome Books), Linux, etc. To download and install Office 365 desktop applications for Windows and Mac OS, use the following link Download Office 365 Applications . Or, open a web browser and navigate to https://portal.office.com/account#installs. Click "" Install Office "" to begin installing the software package. When prompted, enter your TrojanPass Credentials to activate the applications on your device. Mobile Applications To find available applications for your mobile device, you can search for the name of the application in the Apple App Store or Google Play Store. NOTE : M365 Office ProPlus provides access to online versions of Office products like Word, Excel, PowerPoint and OneNote. You don't need to download anything to use these services. After graduation, students no longer will have access to the downloadable applications. Students will receive a notification their subscription has ended and can choose to continue their subscription on their own, but will no longer be provided at no cost. However, any files created will be accessible (read-only) after the subscription ends. For additional guidance installing Microsoft Office 365 desktop applications, please visit Download and Install/Reinstall Microsoft Office by Microsoft.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40546
How do I log my computer off the network so I can log in another device?,"If  you logged into the computer using your TrojanPass credentials, you will need to log out of the computer. If you are using a computer with a generic account logged into the computer, visit https://my.troy.edu and click the "" Logout "" button in the top right corner of the window:",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40477
Lenovo Laptop Recall,"ATTENTION: LENOVO RECALL                              February 7, 2018 Lenovo is voluntarily recalling ThinkPad X1 Carbon 5th Generation laptops manufactured between December 2016 and October 2017. Lenovo has determined that a limited number of such laptops may have an unfastened screw that could damage the laptop’s battery causing overheating, potentially posing a fire hazard. IT is awaiting a purchasing report from our vendor for units purchased by the university.  If your department has purchased a Lenovo X1 Carbon and it is affected by the recall,IT will reach out and schedule an inspection with you. If you have other questions, please place a helpdesk ticket.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=47959
"When attempting to open a Microsoft file from a shared drived, I get an error with the following: ""the file is corrupt and cannot be opened"", how do I fix this?",For Excel Try the following steps: Open Excel. Click on File > Options. Select Trust Center > Trust center settings. Select Protected view. Uncheck all the options under Protected View > OK. Restart Excel and try to open Excel documents. For Word Try the following steps: Open Word. Click on File > Options. Select Trust Center > Trust center settings. Select Protected view. Uncheck all the options under Protected View > OK. Restart Word and try to open Word documents.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40539
Disable Browser Synchronization,"Google Chrome At the top right, click Profile Sync is on . Click Turn off . Mozilla Firefox Click the menu button (three stacked horizontal lines) and select Settings . Click Sync from the menu options to open the sync settings panel. Click the Change… button in the Syncing: ON subsection. Click Disconnect… . A confirmation prompt will appear. Click the Disconnect button in the prompt. Microsoft Edge Click on the small three dots on the upper right corner of the page. Click on Settings . By default you're on profile tab. Click on Sync . Click Turn Off Sync .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=134375
I used Migration Assistant to transfer my files and applications from an older Mac to a new one. What issues will I probably deal with on the new system after migration has completed?,"Typically, most programs work fine after migration. However, some may need to be uninstalled and/or reinstalled. This may be caused by some parts/processes of applications not being completely transferred. The following is a list of programs with recommendations for resolving issues after a migration. VirusScan - uninstall and reinstall followed by a reboot VPN - reinstall only Parallels Desktop for Mac - may require reinstall and running a tool to clean obsolete Parallels components (available from the Parallels Web site) Also, remember to deactivate any programs on the older Mac that use activation such as the Adobe Creative Suite software.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40776
RICOH Multi-Purpose Devices (Copier/Printer/Scanner/Fax),"What support does RICOH provide after a multi-purpose device is leased? RICOH provides print driver and scan installation on end user PCs/Macs for set ups of new multi-purpose devices (MPDs).  After setup/install, the managed services team member or off-site RICOH tech shows the department end users how to: use the MPD (copier/printer/scanner/fax, as applicable), change toner, clear paper jams, who to call for support, etc. What support can you expect on the Troy, Montgomery or Dothan campuses? Located on these three campuses are RICOH managed services team members that are trained to set up new MPDs.  For issues with a MPD, departments should contact RICOH as listed below. On-campus support is typically provided within one (1) hour.  If an off-site RICOH technician is required, the response time is four (4) hours or less. What support is available for RICOH MPDs not on the Troy, Montgomery or Dothan Campuses? For support sites and departments not on one of these three campuses, end users should use www.myricoh.com as the best place to initiate service calls and order supplies, check on supply orders, etc. (RICOH pays the shipping cost on supply orders placed thru the website).  At www.myricoh.com , the department contact must enter his/her email address and set up a passcode. Once set up, this contact person can only see the equipment and supplies/etc for his/her department.   This contact person can also choose to set up personalized alerts for tasks that require attention such as meter reads, ordering toner, etc. RICOH also provides a toll-free number (found on the sticker on the front of the machine), that provides 24/7 support for troubleshooting issues, dispatching an off-site RICOH tech, ordering supplies, etc.  RICOH technicians are available to come on-site to work on the MPD Monday thru Friday, 7am-7pm.  RICOH has ""how to"" videos for each product available at www.myricoh.com and YouTube. TROY IT does not support RICOH MPDs. If assistance is needed, please call or email: • Troy Campus 334-670-3230 creative@troy.edu • Montgomery Campus 334-241-9565-29565 jedevaughn@troy.edu • Dothan Campus 334-983-6556-21303 jamesnix@troy.edu • New Lease/Lease Renewal 251-421-8571 marcus.heygster@richo-usa.com • Support Sites 888-456-6457 www.myricoh.com • To place a Service Call 888-456-6457 www.myricoh.com",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=51709
How do I turn on Microsoft Windows Automatic Update?,"Open the Security Center control panel (Start --> Control Panels --> System and Security) Find “Windows Updates” Click on ""Turn automatic updating on or off"" Ensure ""Install updates automatically"" is selected from the drop down menu.  Along with ""Every day"" and a time is set. Click the OK button to save the settings.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40537
How do I find my computer name?,"To find your computer name, follow the instructions below for the type of computer you have. PC Right-click the Start button (bottom left corner) Click System The Computer Name is listed as Device Name MAC Click on the Apple logo (menu) Select System Preferences (On Ventura 13.0 and higher) Select General Select Sharing The Computer Name is displayed here If the computer is not functional, the serial number can be used instead of the computer name.  Instructions for finding the serial number can be found here .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=78003
Does the University support messaging programs such as Skype on the Troy Campus?,"Messaging programs may be used. However, support for these applications is limited. To create an IT Helpdesk Ticket, please visit http://helpdesk.troy.edu or call 334-670-HELP",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40475
"In Firefox for OS X, when I go to ""File"" -> ""Page Setup"" or ""File"" -> ""Print"" and make changes the next time I click on the ""File"" menu the ""Close"", ""Save Page As"", ""Send Link"", ""Page Setup"", and ""Print"" options are grayed out. How I can print or access the other options without closing and re-opening Firefox?","This is an issue known to exist in early versions of Firefox 3 for OS X. This problem may exist in other versions. The work-around is to click somewhere in the Finder (for example, on the desktop) and then return focus by clicking back in the Firefox window. This should re-enable these options from the ""File"" menu.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40771
How do I clear Internet cache?,"Clearing Internet Cache Internet Cache is a holder of temporary Internet files in Internet Explorer. Internet Cache is used to help improve how fast data is opened while browsing the Internet. In most cases, each time a web page is opened, it is sent to your browser's temporary cache on your hard disk drive. If the same web page is accessed again and has not been modified, the browser will open the page from your cache instead of downloading the page again. The files stored in Internet Cache take up space, so from time to time, you may want to clear out the files stored in Internet Cache to free up some space on your computer. This is called clearing Internet Cache. At the links below you will find explanations for clearing your cache in Chrome, Edge, and Firefox: Edge Chrome Firefox If you need assistance clearing your cache, please go to https://helpdesk.troy.edu and submit a ticket. Once you submit a ticket, one of our Helpdesk Technicians will contact you to assist you.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44597
"When I am in the Finder and I try to type a name for a new folder or rename an existing folder or file, the keyboard does not seem to work. However, I can still type in applications such as Word or Firefox. How do I fix this?","We have experienced this problem in OS X Tiger and Leopard. At this time a cause is not known. The only solution is to relaunch the Finder. This can be done by restarting the computer or by pressing Option, Command, and Esc at the same time to open the Force Quit Applications window and then selecting the Finder and pressing the Relaunch button.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40780
What is Qualtrics and how do I use it?,"Qualtrics is a web-based application, therefore it is not necessary for IT to install Qualtrics on your computer. Once you create a Qualtrics account you may access this account from any web browser. Chrome is the preferred browser. For information on Qualtrics and how to activate your account, please visit IRPE's Qualtrics page. Once you set up your new account, you will need to upgrade your account according to the instructions on the webpage. To receive your upgrade code, email the Qualtrics brand administrator at surveys@troy.edu . There are several tutorials online at https://www.qualtrics.com/support/survey-platform/getting-started/survey-platform-overview/ to help you learn the software. If you have further questions regarding your account feel free to email the brand administrator at surveys@troy.edu .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=46605
How do I use Turnitin in my course?,"Turnitin Turnitin is a service used by Troy University that assists students and faculty in improving college writing by checking papers against information sources, e.g., the Internet, library databases, and other papers. TROY users now have access to OriginalityCheck, GradeMark, ETS e-rater Grammar Checking, and PeerMark. Turnitin is integrated with Canvas. You will access Turnitin within your assignments in your Canvas course.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44419&SIDs=2750
Canvas and Microsoft Teams Integration available,"Microsoft Teams has integrated with Canvas to provide you access to your Teams meeting directly in Canvas. As an instructor, you will need to sync your roster with Teams and complete a few steps in order to utilize the new features. Syncing and Activating Your Microsoft Team in Canvas 1) Click on “Settings” in your Course Navigation Menu. 2) Click the “Integrations” tab at the top of the page. 3) Click the toggle switch to the right of Microsoft Sync, so it turns green and has a check mark. 4) Click the > to the left of Microsoft Sync. 5) Click “Sync Now.” This should sync your Canvas roster to your Microsoft Team. You will receive the following message when the sync begins. Click “Microsoft Teams” in your Canvas course menu, and sign into your Microsoft account. Click on your Course Team. Choose the Microsoft Teams desktop app from the list and select “Open Link”. Click “Activate” at the top of the Teams page. Click “Activate.” Your team is now active. Click “OK” Now, click “General” to start a Teams meeting, conversation, add files, etc.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=137217
What is an End of Course Survey?,"End of Course Survey/Course Evaluation/Faculty Evaluation Students will be notified via Trojan E-mail of the requirement to fill out an End of Course Survey. Students will receive several email notifications for each course they are enrolled in, beginning three weeks prior to the end of the class. The email will provide a link to access the survey for completion. The survey can also be accessed through your Canvas course navigation. These surveys/evaluations are completely anonymous and submitted online.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44813
OneDrive LTI in Canvas,"Accessing Microsoft OneDrive Within Canvas Click on Microsoft OneDrive on the course menu. Sign into your Microsoft Account. Once you are signed in, you will have access to your OneDrive. You can create a new folder, upload to files or a folder, and change the view.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=138740
Do you offer teaching assistantships?,"Graduate Assistantships/Fellowships For information concerning graduate assistantships/fellowships, visit the Graduate School web page and click the Graduate Assistants link of the left side of the page or view the Graduate Assistantship/Fellowship Program section of the Graduate Academic Catalog .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44589
What is the Institutional Review Board?,"Institutional Review Board The Troy University Institutional Review Board functions to ensure protection of the rights of human subjects who participate in research endeavors conducted by TROY faculty, professional staff, and students. For more information, please visit the Institutional Review Board web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44593
Where can I find information about the First-Year Studies Program?,"First-Year Studies Program The First-Year Studies Program at Troy University is a comprehensive program that focuses on students who are making the transition from high school or post-high school experiences to the university experience. Some of the components of the First-Year Studies Program are University Orientation - TROY 1101 , The Center for Student Success , and Academic Service Learning and Civic Engagement.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44534
How do I access Canvas?,"There are three ways to access Canvas: Log in at http://my.troy.edu using your TrojanPass credentials. Hover over the ""Services"" tab at the top of the page, and then click on ""Canvas"" from the drop-down menu Log in at http://my.troy.edu using your TrojanPass credentials. Scroll down the page, then click on the ""Canvas"" tile. Log in by going to http://canvas.troy.edu in your web browser. Click the Canvas Login button in the middle of the page, and log in with your TrojanPass credentials.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44606
How do I see my class roster?,"Viewing a Class Roster Students: Students may view a roster of fellow students within their Canvas courses. To do this, login to Canvas, choose a course, click the ""People"" link on the left side of the page in the course navigation area. Some instructors do not have the People link available in their courses. Instructors: To view a roster of the current students within the Canvas courses. To do this, login to Canvas, choose the course, click the ""People"" link on the left side of the page in the course navigation area.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44587
How to split name columns in the Canvas Gradebook,"Gradebook Split Name Columns Summary The Gradebook View menu includes the option to split student names into two separate columns and show first and last name separately. Change Benefit This change allows student first and last names to be displayed and exported in separate columns. Feature Workflow The Gradebook View menu in individual courses displays the Split Student Names option, which displays student names as last name first. Enter Gradebook Click on View Select Split Student Names Gradebook View Menu: Split Student Names Option Additional Details When student names are split, the Last Name column can still be sorted by type and order and supports secondary info. Split names are respected and displayed in the Gradebook CSV export",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=141324
1098-T FAQ,"For detailed instructions on accessing your 1098-T form visit: How do I access my 1098-t tax form? When does the 1098-T become available? If you consented to receive your 1098-T form online, you will receive a notification email before January 31 st indicating that this form is available. If you did not consent to receive the form online, the 1098-T form will be mailed to the address on file with Troy University before January 31 st . Please note that if you did not consent before the cutoff period (typically the middle of January), you will not receive a notification email.  However, you may still access your 1098-T form online after you complete the online consent form.  You will still receive a mailed copy of the form if you did not consent before the cutoff period. What is a 1098-T? The University is required to provide this form to students and the Internal Revenue Service.  The 1098-T provides a total of payments received for qualified tuition and fees as well as scholarship and grant information to students and the Internal Revenue Service. It also informs the Internal Revenue Service that the recipient of the form may be eligible for education related tax benefits.  Please consult with your tax advisors to determine how your payments to the University affects your tax situation. How do I reset the password to access my 1098-T? You will need to visit https://www.tsc1099.com/login1098.aspx and click the Forgot Password link. You will then need to enter 10296 in the site id field, your TrojanPass username into the username field and click the Submit button. You will then be sent an email to your Troy University email address allowing you to change your password. I did not receive a 1098-T form. Why? Not all students will receive a 1098-T. Below are possible reasons you did not receive a 1098-T form. You only took courses for which no academic credit is offered (Continuing education courses are a common example of noncredit courses) You are a nonresident alien. Note: If you would still like a form as a nonresident alien you will need to request a form each year. You will also need to ensure you have a tax identification number on file with the University before requesting the form.  Once you have verified your tax identification number is on file you can request the form by entering a helpdesk request . What is the advantage of receiving my 1098-T electronically? You will be able to access your 1098-T earlier because it will not have to be mailed. Also, you can easily access it multiple times should it get misplaced. My 1098-T forms in the past have had amounts in box 2. Why does this year’s form have an amount in box 1 instead of box 2? In previous years, your 1098-T included a figure in Box 2 that represented the qualified tuition and related expenses (QTRE) we billed to your student account for the calendar (tax) year. Due to a change to institutional reporting requirements under federal law, beginning with tax year 2018, we will report in Box 1 the amount of QTRE you paid during the year. What is included in box 5? All scholarships, grants, and 3 rd party payments are included in box 5. Scholarships and grants generally include all payments received from third parties (excluding family members and loan proceeds).  This includes payments received from government and private entities such as the Department of Veterans Affairs, the Department of Defense, civic and religious organizations, and nonprofit entities. How do I get my forms for prior years? You retrieve the forms at https://www.tsc1099.com/login1098.aspx . This website has the forms back to 2011. You will simply need to change the year in the dropdown box of the screen to the year of the form you are wanting to view. Once you have the correct year selected click the view/print link. I paid more in the calendar year than what is reflected in box 1 of the form. Box 1 amounts are limited to the amount of qualified tuition and related expenses (QTRE) we billed to your student account for the calendar (tax) year. For example, payments towards spring courses that were pre-registered for during the previous year will not be reported. Also, payments for housing or meal plan charges are not reported.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=70066
What military programs are offered at TROY?,"Military Programs Since 1950, TROY has been proud to work with military service members, veterans and their families as they pursue advanced education under the G.I. Bill, the Tuition Assistance Program, the MyCAA initiative, private funding and other financing options. Troy University is an educational partner with the U.S. Army, Navy, Air Force, Marine Corps and Coast Guard. Troy University has been recognized as a leading institution for members of the military and veterans by U.S. News and World report, GI Jobs, Military Times Edge, Advanced Military Education, and more. Military Tuition Assistance For information about Tuition Assistance, refer to the “What is tuition assistance” response. Military Tuition and the Military and Family Scholarship The Troy University Military and Family Scholarship has been established to recognize the service of U.S. Active Military, Reserve and National Guard members by offering a scholarship to the service member, their spouse and/or dependent children. The Scholarship reduces tuition to $250 per credit hour at both the undergraduate and graduate level. To learn more, click one of the following links. Undergraduate Military and Family Scholarship Graduate Military and Family Scholarship Degrees & Programs: click link to view entry in Academic Catalog Undergraduate: Air Force ROTC/Aerospace Studies Minor Military Operations Minor Military Science Leadership Minor Associate of Science in General Education - Aviation Operations - Unmanned Aerial Systems Training - degree map Associate of Science in General Education - Military Operations Resource and Technology Management – Option 1 degree map Option 2 degree map Resource and Technology Management - Aviation Ops - Unmanned Aerial Systems - degree map Web Pages: College of Arts & Sciences Academic Catalogs Academic Programs Undergraduate Degree Maps Graduate Degree Plans More Information For more information about the military programs and services offered at Troy University, visit the TROY for Troops Center .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44474
